1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.2,2018,5,9,0,0,2018,5,9,0,7,
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.1,2018,5,9,0,0,2018,5,9,0,17,
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,0,27,
5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Maquina2.1,2018,5,9,0,0,2018,5,9,0,41,
7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Maquina1.2,2018,5,9,0,0,2018,5,9,0,51,
8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,Maquina1.1,2018,5,9,0,0,2018,5,9,0,59,
4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,1,8,
9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Maquina2.1,2018,5,9,0,0,2018,5,9,1,25,
13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,Maquina1.1,2018,5,9,0,0,2018,5,9,1,35,
6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,1,43,
14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,Maquina1.1,2018,5,9,0,0,2018,5,9,1,48,
10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,1,55,
11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,2,6,
12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,Maquina1.3,2018,5,9,0,0,2018,5,9,2,15,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,Maquina1.3,2018,5,9,0,0,2018,5,9,2,24,
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Maquina1.3,2018,5,9,0,0,2018,5,9,2,35,
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.1,2018,5,9,0,3,2018,5,9,2,45,
18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,7,2018,5,9,2,55,
19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,7,2018,5,9,3,5,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina2.3,2018,5,9,0,7,2018,5,9,3,21,
20,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,Maquina2.2,2018,5,9,0,12,2018,5,9,3,31,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,Maquina1.1,2018,5,9,0,15,2018,5,9,3,43,
22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina1.3,2018,5,9,0,15,2018,5,9,3,52,
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maquina3.1,2018,5,9,0,17,2018,5,9,4,3,
